Coin Rank,Name,Symbol,Market Cap,Price,Circulating Supply,Volume Change (24h)
29,Dogecoin,DOGE,"$290,015,819",$0.002386,"121,550,310,972",-0.06%
30,Basic Attenti...,BAT,"$278,942,630",$0.206586,"1,350,250,672",-0.17%
31,Paxos Standard,PAX,"$264,517,385",$1.00,"264,143,934",0.13%
32,HedgeTrade,HEDG,"$236,134,686",$0.818792,"288,393,855",0.00%
33,VeChain,VET,"$212,412,879",$0.003830,"55,454,734,800",1.01%
34,TrueUSD,TUSD,"$186,949,452",$1.00,"186,567,334",0.12%
35,Decred,DCR," $181,520,042",$17.28,"10,505,509",0.37%
36,Qtum,QTUM,"$178,587,530",$1.86,"96,078,080",-0.09%
37,Ravencoin,RVN,"$154,103,613",$0.033516,"4,597,870,000",1.88%
38,0x,ZRX,"$153,984,838",$0.256130,"601,198,566",0.16%
39,Bitcoin Gold,BTG,"$148,640,911",$8.49,"17,513,924",-0.29%
40,V Systems,VSYS,"$147,025,498",$0.080620,"1,823,685,629",0.29%
41,ZB,ZB,"$142,041,797",$0.306594,"463,288,810",0.50%
42,Holo,HOT,"$134,096,887",$0.000832,"161,114,871,948",0.98%
43,EDUCare,EKT,"$131,145,765",$0.154289,"850,000,000",4.05%
44,OmiseGO,OMG,"$129,375,070",$0.922491,"140,245,398",-0.08%
45,ABBC Coin,ABBC,"$127,921,166",$0.230776,"554,307,762",-0.38%
46,Lisk,LSK,"$109,438,217",$0.905872,"120,809,865",0.01%
47,Nano,NANO,"$107,798,646",$0.809006,"133,248,297",-0.11%
48,DigiByte,DGB,"$103,918,600",$0.008409,"12,357,802,965",0.00%
49,Bitcoin Diamond,BCD,"$101,530,858",$0.544422,"186,492,898",-2.19%
50,KuCoin Shares,KCS,"$100,342,127",$1.14,"87,801,051",1.27%
51,Centrality,CENNZ,"$99,951,235",$0.123357,"810,262,560",7.89%
52,BitTorrent,BTT,"$99,484,049",$0.000469,"212,116,500,000",1.92%
53,Swipe,SXP,"$99,239,501",$1.65,"60,135,911",0.21%
54,Algorand,ALGO,"$97,203,015",$0.238140,"408,175,366",-1.09%
55,Augur,REP,"$95,154,463",$8.65,"11,000,000",-0.28%
56,Waves,WAVES,"$93,527,024",$0.935270,"100,000,000",0.70%
57,ICON,ICX,"$89,600,053",$0.180322,"496,888,812",0.86%
58,Bytecoin,BCN,"$86,506,688",$0.000470,"184,066,828,814",3.36%
59,Dai,DAI,"$84,716,204",$1.00,"84,410,132",-0.22%
60,Siacoin,SC,"$82,671,229",$0.001977,"41,817,047,634",1.41%
61,Quant,QNT,"$81,200,910",$6.73,"12,072,738",-0.09%
62,THETA,THETA,"$80,091,767",$0.092006,"870,502,690",-0.72%
63,BitShares,BTS,"$79,611,336",$0.029002,"2,745,030,000",0.10%
64,MonaCoin,MONA,"$79,345,475",$1.21,"65,729,675",0.91%
65,Karatgold Coin,KBC,"$79,279,419",$0.021126,"3,752,622,837",0.03%
66,HyperCash,HC,"$72,449,075",$1.63,"44,355,258",0.25%
67,Komodo,KMD,"$70,537,462",$0.606217,"116,356,863",0.07%
68,MaidSafeCoin,MAID,"$69,617,640",$0.153833,"452,552,412",0.12%
69,Synthetix Net...,SNX,"$67,507,992",$0.496239,"136,039,248",-0.21%
70,Crypterium,CRPT,"$63,708,890",$0.751217,"84,807,624",0.57%
71,IOST,IOST,"$62,103,121",$0.005169,"12,013,965,609",0.29%
72,Verge,XVG,"$60,985,585",$0.003815,"15,983,908,369",1.25%
73,Bytom,BTM,"$60,790,983",$0.060639,"1,002,499,275",-0.10%
74,Energi,NRG,"$59,287,815",$2.77,"21,428,330",0.10%
75,Ardor,ARDR,"$58,469,506",$0.058528,"998,999,495",0.45%
76,MCO,MCO,"$55,715,170",$3.53,"15,793,831",0.56%
77,Pundi X,NPXS,"$54,016,460",$0.000229,"236,136,219,276",0.06%
78,Nexo,NEXO,"$53,864,212",$0.096186,"560,000,011",-0.03%
79,Zilliqa,ZIL,"$53,688,984",$0.006180,"8,687,360,058",0.25%
80,RIF Token,RIF,"$52,147,368",$0.106709,"488,688,390",-1.63%
81,Golem,GNT,"$52,027,615",$0.053119,"979,450,000",-0.02%
82,Zcoin,XZC,"$51,311,412",$6.00,"8,551,493",-0.32%
83,Aurora,AOA,"$51,232,245",$0.007831,"6,542,330,148",-0.41%
84,Ren,REN,"$51,123,992",$0.064104,"797,513,690",4.04%
85,Steem,STEEM,"$50,876,225",$0.146534,"347,197,439",0.21%
86,Aeternity,AE,"$50,702,654",$0.177038,"286,394,511",0.33%
87,Enjin Coin,ENJ,"$50,338,886",$0.064815,"776,656,142",0.15%
88,Status,SNT,"$48,392,789",$0.013944,"3,470,483,788",0.39%
89,Seele,SEELE,"$47,347,034",$0.068120,"695,055,692",-0.77%
90,aelf,ELF,"$44,689,696",$0.083613,"534,480,100",0.23%
91,Nash Exchange,NEX,"$41,194,400",$1.14,"36,196,678",0.27%
92,BitCapitalVendor,BCV,"$39,101,267",$0.043875,"891,199,995",1.11%
93,Newton,NEW,"$37,048,651",$0.003101,"11,948,333,332",-0.54%
94,Electroneum,ETN,"$36,750,663",$0.003734,"9,842,213,196",-0.39%
95,Metaverse ETP,ETP,"$36,076,299",$0.470161,"76,731,824",2.43%
96,Stratis,STRAT,"$35,948,864",$0.361230,"99,518,069",-0.01%
97,XMax,XMX,"$35,643,554",$0.002108,"16,905,844,089",0.11%
98,STASIS EURO,EURS,"$35,196,833",$1.10,"31,979,207",-0.21%
99,Beam,BEAM,"$34,752,435",$0.870036,"39,943,680",-0.03%
100,Populous,PPT,"$34,218,462",$0.642573,"53,252,246",2.22%
101,Decentraland,MANA,"$33,057,934",$0.031480,"1,050,141,509",-0.05%
102,Kyber Network,KNC,"$32,836,081",$0.195538,"167,927,029",0.27%
103,Elastos,ELA,"$32,357,605",$2.01,"16,063,887",1.37%
104,ReddCoin,RDD,"$32,139,439",$0.001116,"28,808,713,174",5.47%
105,Matic Network,MATIC,"$31,466,893",$0.014354,"2,192,190,362",2.46%
106,Factom,FCT,"$31,349,059",$3.19,"9,823,509",-0.11%
107,Waltonchain,WTC,"$31,182,163",$0.732572,"42,565,308",-1.08%
108,Grin,GRIN,"$31,095,623",$1.35,"23,003,940",0.10%
109,Dentacoin,DCN,"$30,998,908",$0.000057,"540,365,602,593",0.23%
110,GXChain,GXC,"$31,000,800",$0.476935,"65,000,000",3.89%
111,SOLVE,SOLVE,"$30,644,132",$0.093592,"327,423,172",2.07%
112,Loopring,LRC,"$30,366,774",$0.033543,"905,311,556",0.75%
113,Dragon Coins,DRG,"$30,331,685",$0.087016,"348,576,674",-0.16%
114,WINk,WIN,"$29,701,055",$0.000151,"196,500,113,934",-0.39%
115,Nebulas,NAS,"$29,380,135",$0.565518,"51,952,589",0.20%
116,Lambda,LAMB,"$29,355,071",$0.046895,"625,970,147",-0.22%
117,Digitex Futures,DGTX,"$28,548,811",$0.037484,"761,620,509",0.55%
118,NULS,NULS,"$28,276,182",$0.383299,"73,770,500",-0.55%
119,FunFair,FUN,"$28,205,165",$0.004307,"6,548,879,189",0.19%
120,Civic,CVC,"$28,231,763",$0.042137,"670,000,000",0.31%
121,Tierion,TNT,"$27,954,275",$0.065240,"428,481,269",2.32%
122,DigixDAO,DGD,"$27,541,272",$13.77,"2,000,000",0.97%
123,Project Pai,PAI,"$27,093,687",$0.018681,"1,450,303,514",1.14%
124,Horizen,ZEN,"$26,079,876",$3.47,"7,507,100",0.25%
125,Aion,AION,"$26,076,450",$0.073685,"353,888,576",-0.13%
126,IoTeX,IOTX,"$25,958,294",$0.006301,"4,120,000,000",-0.07%
127,Wanchain,WAN,"$25,526,383",$0.240469,"106,152,493",2.38%
128,Loom Network,LOOM,"$25,131,740",$0.025933,"969,103,066",0.24%
129,LINA,LINA,"$24,835,772",$0.091245,"272,186,342",-0.15%
130,QASH,QASH,"$24,755,494",$0.070730,"350,000,000",0.55%
131,WaykiChain,WICC,"$24,570,832",$0.130004,"189,000,000",-0.10%
132,Revain,R,"$24,567,200",$0.050712,"484,450,000",0.24%
133,DxChain Token,DX,"$24,393,984",$0.000527,"46,250,000,000",-1.11%
134,WAX,WAXP,"$24,366,507",$0.029105,"837,205,646",5.43%
135,Enigma,ENG,"$23,857,747",$0.318800,"74,836,171",0.28%
136,Orbs,ORBS,"$23,753,432",$0.012368,"1,920,588,509",-1.80%
137,Bread,BRD,"$23,732,455",$0.267456,"88,733,978",-1.14%
138,Fetch,FET,"$23,721,729",$0.042002,"564,781,797",-0.53%
139,Santiment Net...,SAN,"$23,479,826",$0.374716,"62,660,371",0.01%
140,TomoChain,TOMO,"$23,418,052",$0.360956,"64,877,775",0.22%
141,Fantom,FTM,"$23,245,354",$0.012817,"1,813,658,595",1.24%
142,iExec RLC,RLC,"$22,937,931",$0.286471,"80,070,793",0.87%
143,Bancor,BNT,"$22,689,391",$0.364614,"62,228,602",-0.05%
144,Blackmoon,BMC,"$21,964,899",$0.406757,"54,000,000",-0.03%
145,BHPCoin,BHP,"$21,949,025",$1.16,"18,945,102",0.77%
146,Ripio Credit ...,RCN,"$21,525,000",$0.042269,"509,235,327",0.25%
147,Jewel,JWL,"$21,494,716",$0.392884,"54,710,035",0.00%
148,Ark,ARK,"$21,293,586",$0.187702,"113,443,488",-0.25%
149,Aragon,ANT,"$21,253,823",$0.713209,"29,800,256",-0.09%
150,ODEM,ODE,"$21,179,978",$0.091964,"230,308,098",0.11%
151,Power Ledger,POWR,"$20,917,071",$0.050077,"417,700,975",0.69%
152,Ignis,IGNIS,"$20,146,991",$0.026469,"761,143,950",0.21%
153,Omnitude,ECOM,"$20,085,555",$0.309899,"64,813,301",-0.36%
154,Hyperion,HYN,"$19,440,724",$0.061373,"316,765,917",0.12%
155,Metal,MTL,"$19,355,362",$0.383397,"50,483,821",-0.10%
156,Gatechain Token,GT,"$19,268,502",$0.530759,"36,303,694",-0.05%
157,Dent,DENT,"$19,066,224",$0.000254,"74,925,838,994",1.87%
158,TrueChain,TRUE,"$18,710,509",$0.235129,"79,575,543",-1.09%
159,Storj,STORJ,"$18,608,809",$0.137044,"135,787,439",0.15%
160,Moeda Loyalty...,MDA,"$18,454,819",$0.940187,"19,628,888",1.08%
161,Telcoin,TEL,"$18,119,430",$0.000462,"39,194,744,221",0.00%
162,Chiliz,CHZ,"$18,054,323",$0.005010,"3,603,663,181",-4.30%
163,Eidoo,EDO,"$17,991,092",$0.339447,"53,001,165",0.10%
164,Aladdin,ADN,"$17,768,035",$0.000558,"31,819,496,974",-0.12%
165,Robotina,ROX,"$17,330,524",$0.057054,"303,758,412",0.04%
166,Molecular Future,MOF,"$17,123,895",$0.478169,"35,811,387",-0.35%
167,Gnosis,GNO,"$17,009,657",$15.40,"1,104,590",0.12%
168,Bibox Token,BIX,"$16,838,323",$0.155310,"108,417,395",-0.30%
169,CRYPTO20,C20,"$16,823,474",$0.416333,"40,408,736",0.09%
170,EDC Blockchain,EDC,"$16,488,795",$0.006174,"2,670,646,025",-0.01%
171,PIVX,PIVX,"$16,352,731",$0.287996,"56,781,166",0.26%
172,Arcblock,ABT,"$16,269,381",$0.165080,"98,554,305",-1.65%
173,Celer Network,CELR,"$16,007,263",$0.004894,"3,270,711,008",0.61%
174,Function X,FX,"$15,614,923",$0.135403,"115,321,551",7.25%
175,Wirex Token,WXT,"$15,326,564",$0.015327,"1,000,000,000",-0.10%
176,Harmony,ONE,"$15,309,038",$0.005931,"2,581,009,242",-1.55%
177,Cocos-BCX,COCOS,"$15,304,755",$0.000974,"15,715,214,795",0.35%
178,Theta Fuel,TFUEL,"$15,205,018",$0.003961,"3,838,301,572",0.48%
179,Loki,LOKI,"$15,174,269",$0.350854,"43,249,587",0.55%
180,Credits,CS,"$15,161,179",$0.090257,"167,977,824",-0.21%
181,Syscoin,SYS,"$14,992,027",$0.026460,"566,602,421",0.10%
182,Groestlcoin,GRS,"$14,968,902",$0.203507,"73,554,709",1.43%
183,MediBloc [ERC20],MEDX,"$14,963,576",$0.004357,"3,434,635,926",0.16%
184,CyberMiles,CMT,"$14,680,242",$0.018350,"800,000,000",0.63%
185,TTC,TTC,"$14,636,425",$0.041079,"356,295,532",1.26%
186,Cindicator,CND,"$14,605,255",$0.008331,"1,753,210,458",1.19%
187,QuarkChain,QKC,"$14,454,341",$0.005677,"2,546,168,213",-0.17%
188,RealTract,RET,"$14,371,690",$0.001356,"10,600,000,000",0.14%
189,Divi,DIVI,"$14,170,464",$0.011002,"1,288,030,828",-4.02%
190,Nxt,NXT,"$14,051,766",$0.014066,"998,999,942",-0.14%
191,Diamond Platf...,DPT,"$14,037,710",$13.69,"1,025,150",-0.19%
192,Davinci Coin,DAC,"$13,872,547",$0.003851,"3,601,858,620",-0.13%
193,TenX,PAY,"$13,790,006",$0.116788,"118,077,209",-0.20%
194,Thunder Token,TT,"$13,696,089",$0.004720,"2,901,919,605",0.23%
195,Matrix AI Net...,MAN,"$13,356,657",$0.070861,"188,491,548",5.94%
196,Nexus,NXS,"$13,039,052",$0.201618,"64,671,957",0.08%
197,Gas,GAS,"$13,013,527",$1.28,"10,128,375",0.26%
198,MediBloc [QRC20],MED,"$13,006,990",$0.004385,"2,966,384,100",-0.89%
199,Raiden Networ...,RDN,"$12,986,856",$0.256688,"50,593,936",0.87%
200,Ether Zero,ETZ,"$12,744,752",$0.077056,"165,395,853",0.37%
201,MEXC Token,MEXC,"$553,660,466",$0.606448,"912,955,691",0.43%
202,INO COIN,INO,"$348,648,354",$1.94,"180,003,180",-0.06%
203,Insight Chain,INB,"$213,557,100",$0.610333,"349,902,689",1.30%
204,ThoreNext,THX,"$175,309,965",$8.10,"21,652,254",0.16%
205,ThoreCoin,THR,"$140,760,356",$1623.80,"86,686",0.17%
206,Oasis City,OSC,"$114,142,908",$0.051449,"2,218,565,836",0.00%
207,PRIZM,PZM,"$111,145,044",$0.392957,"282,842,431",-1.56%
208,Silverway,SLV,"$94,278,248",$0.942782,"100,000,000",-0.41%
209,Mixin,XIN,"$90,788,291",$197.20,"460,386",0.13%
210,MineBee,MB,"$82,621,271",$0.045146,"1,830,081,855",0.00%
211,Flexacoin,FXC,"$71,578,941",$0.003424,"20,905,195,749",-0.44%
212,Bitbook Gambling,BXK,"$70,203,325",$0.190569,"368,387,491",2.51%
213,Beldex,BDX,"$65,653,475",$0.066978,"980,222,595",0.84%
214,GAPS,GAP,"$62,343,228",$6.23,"10,000,000",-0.17%
215,Dynamic Tradi...,DTR,"$56,362,641",$0.036995,"1,523,517,808",0.46%
216,FTX Token,FTT,"$54,878,059",$1.43,"38,353,930",0.19%
217,Clipper Coin,CCCX,"$51,784,815",$0.013698,"3,780,571,396",0.00%
218,Veritaseum,VERI,"$48,380,567",$22.51,"2,149,646",3.25%
219,NEXT,NET,"$48,343,220",$1.19,"40,491,818",-0.80%
220,OKB,OKB,"$45,761,833",$2.29,"20,000,000",-1.03%
221,BitForex Token,BF,"$45,687,683",$0.010754,"4,248,532,033",-0.06%
222,Cryptoindex.c...,CIX100,"$38,714,576",$0.636076,"60,864,742",0.26%
223,Wixlar,WIX,"$38,638,669",$0.016154,"2,391,963,188",0.16%
224,Bitcoin 2,BTC2,"$38,313,315",$2.21,"17,356,434",7.51%
225,PLATINCOIN,PLC,"$37,815,031",$7.56,"5,001,073",0.16%
226,Buggyra Coin ...,BCZERO,"$36,979,187",$0.018391,"2,010,775,988",-0.13%
227,Bit-Z Token,BZ,"$36,859,900",$0.273360,"134,839,996",0.38%
228,FNB Protocol,FNB,"$36,059,797",$0.062767,"574,504,561",-0.07%
229,Bankera,BNK,"$33,860,378",$0.001376,"24,608,912,108",0.17%
230,StrongHands,SHND,"$33,105,656",$0.000004,"9,319,884,910,528",118.40%
231,CryptoVerific...,CVCC,"$32,080,710",$55.07,"582,595",0.16%
232,BitcoinHD,BHD,"$30,778,539",$14.66,"2,100,045",-3.27%
233,Qubitica,QBIT,"$28,605,867",$35.37,"808,675",-0.02%
234,USDK,USDK,"$28,164,179",$0.984759,"28,600,072",0.32%
235,Japan Content...,JCT,"$28,131,019",$0.095961,"293,150,782",-0.08%
236,AgaveCoin,AGVC,"$27,918,897",$0.071473,"390,619,593",-0.26%
237,Maximine Coin,MXM,"$27,602,054",$0.016739,"1,649,000,000",-5.25%
238,pEOS,PEOS,"$26,858,405",$0.032424,"828,353,669",-1.16%
239,BQT,BQTX,"$26,346,965",$0.069769,"377,632,827",0.49%
240,botXcoin,BOTX,"$25,308,753",$0.015510,"1,631,733,770",-0.17%
241,Hedera Hashgraph,HBAR,"$24,642,105",$0.038714,"636,515,764",-0.01%
242,LATOKEN,LA,"$23,697,227",$0.062344,"380,104,462",-0.37%
243,GreenPower,GRN,"$23,149,648",$0.007163,"3,231,699,360",-1.53%
244,BHEX Token,BHT,"$22,767,858",$0.042846,"531,386,850",0.07%
245,FABRK,FAB,"$22,760,784",$0.004759,"4,782,583,640",0.40%
246,BTU Protocol,BTU,"$22,371,089",$0.319542,"70,009,848",-7.12%
247,General Atten...,XAC,"$21,865,546",$2.19,"10,000,000",0.16%
248,VestChain,VEST,"$21,099,515",$0.002981,"7,078,400,000",0.63%
249,Spectre.ai Di...,SXDT,"$20,795,937",$0.253382,"82,073,519",-0.42%
250,MicroBitcoin,MBC,"$20,512,136",$0.000109,"188,777,000,000",-10.67%
251,Atlas Protocol,ATP,"$19,804,229",$0.007688,"2,576,065,703",-0.27%
252,XcelToken Plus,XLAB,"$19,737,810",$0.003520,"5,607,075,348",0.17%
253,Envion,EVN,"$18,726,225",$0.157093,"119,204,516",-0.16%
254,Ultiledger,ULT,"$18,634,300",$0.029014,"642,254,862",0.13%
255,Ecoreal Estate,ECOREAL,"$18,474,637",$0.088476,"208,808,852",-0.29%
256,1irstcoin,FST,"$17,195,809",$0.682778,"25,185,071",3.72%
257,Vitae,VITAE,"$16,727,711",$0.961711,"17,393,691",-5.95%
258,Telos,TLOS,"$15,465,478",$0.072611,"212,991,186",0.13%
259,ETERNAL TOKEN,XET,"$15,389,195",$0.164643,"93,470,000",-0.27%
260,MOAC,MOAC,"$15,252,511",$0.244183,"62,463,334",3.10%
261,Tratin,TRAT,"$14,929,695",$0.000133,"111,999,998,756",-0.18%
262,Cryptonex,CNX,"$14,347,219",$0.257643,"55,686,329",-0.82%
263,PlayChip,PLA,"$14,368,119",$0.001026,"14,009,105,693",0.18%
264,Obyte,GBYTE,"$14,029,347",$19.94,"703,558",0.47%
265,MB8 Coin,MB8,"$13,883,615",$0.024130,"575,376,550",-4.04%
266,United Trader...,UTT,"$13,725,621",$0.365929,"37,508,999",0.12%
267,DAPS Token,DAPS,"$13,316,747",$0.000253,"52,586,828,002",0.00%
268,CasinoCoin,CSC,"$13,166,622",$0.000335,"39,278,829,966",-0.50%
269,Safe,SAFE,"$13,150,045",$0.631137,"20,835,499",-0.80%
270,UnlimitedIP,UIP,"$12,710,625",$0.010282,"1,236,152,840",3.93%
271,UNI COIN,UNI,"$12,699,687",$0.983952,"12,906,821",0.12%
272,SingularityNET,AGI,"$12,673,342",$0.023483,"539,673,260",0.97%
273,Polymath,POLY,"$12,658,116",$0.028712,"440,865,080",-0.01%
274,GNY,GNY,"$12,570,268",$0.066729,"188,376,657",0.16%
275,Vertcoin,VTC,"$12,412,083",$0.240561,"51,596,422",0.30%
276,CryptoFranc,XCHF,"$12,131,189",$1.01,"12,035,000",-0.06%
277,Valor Token,VALOR,"$12,102,351",$0.604030,"20,036,000",1.93%
278,Cortex,CTXC,"$12,052,181",$0.080459,"149,792,458",-1.09%
279,Apollo Currency,APL,"$11,902,246",$0.000810,"14,685,096,531",-0.30%
280,BnkToTheFuture,BFT,"$11,789,837",$0.016151,"729,989,999",0.12%
281,Elrond,ERD,"$11,669,409",$0.001683,"6,933,256,184",0.15%
282,PayPie,PPP,"$11,627,519",$0.140940,"82,500,000",0.00%
283,Skycoin,SKY,"$11,545,348",$0.721584,"16,000,000",5.02%
284,Monolith,TKN,"$11,374,234",$0.360035,"31,592,044",-0.20%
285,Contentos,COS,"$11,398,016",$0.018204,"626,120,710",1.08%
286,Einsteinium,EMC2,"$11,339,177",$0.051791,"218,940,652",0.10%
287,B2BX,B2B,"$11,296,328",$0.609090,"18,546,231",-1.27%
288,Bitrue Coin,BTR,"$11,171,149",$0.079737,"140,100,001",0.18%
289,SaluS,SLS,"$11,025,338",$10.89,"1,012,265",0.11%
290,GoWithMi,GMAT,"$10,979,639",$0.004117,"2,667,100,000",0.27%
291,Ocean Protocol,OCEAN,"$10,897,095",$0.033402,"326,239,536",-1.86%
292,FOAM,FOAM,"$10,894,151",$0.038028,"286,476,910",-0.90%
293,UGAS,UGAS,"$10,802,022",$0.062905,"171,719,420",-0.04%
294,IoT Chain,ITC,"$10,727,004",$0.128830,"83,264,658",-0.46%
295,BitKan,KAN,"$10,710,963",$0.002614,"4,096,779,371",0.01%
296,Alpha Token,A,"$10,676,151",$0.378954,"28,172,657",-32.28%
297,Unobtanium,UNO,"$10,639,159",$52.91,"201,091",0.15%
298,Carry,CRE,"$10,584,787",$0.004325,"2,447,209,884",3.26%
299,Everipedia,IQ,"$10,506,822",$0.001982,"5,300,313,588",0.47%
300,Litecoin Cash,LCC,"$10,457,663",$0.016194,"645,764,957",-0.07%
301,PressOne,PRS,"$10,362,700",$0.036393,"284,742,628",0.11%
302,Ankr,ANKR,"$10,277,044",$0.002572,"3,996,177,788",0.60%
303,Fusion,FSN,"$10,219,502",$0.289383,"35,314,807",-1.03%
304,Request,REQ,"$10,196,683",$0.013970,"729,892,220",0.13%
305,OTOCASH,OTO,"$10,181,381",$0.477643,"21,315,864",0.09%
306,HYCON,HYC,"$10,129,830",$0.005000,"2,025,818,284",-0.03%
307,Kin,KIN,"$10,094,601",$0.000008,"1,214,839,705,290",0.24%
308,Binance USD,BUSD,"$10,055,024",$1.00,"10,021,256",0.14%
309,ZrCoin,ZRC,"$10,112,152",$2.22,"4,562,831",-2.62%
310,UTRUST,UTK,"$10,012,899",$0.022251,"450,000,000",0.02%
311,ILCoin,ILC,"$9,940,472",$0.033552,"296,274,977",0.64%
312,Howdoo,UDOO,"$9,802,263",$0.100206,"97,821,309",-0.02%
313,NKN,NKN,"$9,684,033",$0.027669,"350,000,000",0.42%
314,ZTCoin,ZT,"$9,632,276",$0.042820,"224,948,925",-0.01%
315,RChain,RHOC,"$9,565,568",$0.025591,"373,789,868",0.71%
316,Reserve Rights,RSR,"$9,423,599",$0.002241,"4,205,530,273",0.21%
317,Mithril,MITH,"$9,337,483",$0.013566,"688,279,402",0.60%
318,Gemini Dollar,GUSD,"$9,324,290",$1.00,"9,286,731",-0.14%
319,Perlin,PERL,"$9,285,956",$0.035536,"261,312,530",0.94%
320,DDKoin,DDK,"$9,174,481",$5.37,"1,710,000",0.77%
321,Gifto,GTO,"$9,157,780",$0.015157,"604,212,222",1.43%
322,Ruff,RUFF,"$9,072,718",$0.009253,"980,500,000",0.04%
323,Quantum Resis...,QRL,"$8,958,023",$0.129285,"69,289,181",0.14%
324,Aencoin,AEN,"$8,946,101",$0.034167,"261,834,535",0.00%
325,Dragonchain,DRGN,"$8,942,870",$0.037509,"238,421,940",-6.34%
326,INT Chain,INT,"$8,936,193",$0.024676,"362,146,924",1.28%
327,Origo,OGO,"$8,923,304",$0.022810,"391,202,382",0.98%
328,Po.et,POE,"$8,911,293",$0.002837,"3,141,592,653",0.16%
329,Locus Chain,LOCUS,"$8,901,612",$0.011578,"768,847,258",-0.18%
330,Lightning Bit...,LBTC,"$8,900,670",$2.31,"3,860,808",-1.32%
331,GoChain,GO,"$8,819,397",$0.010921,"807,527,844",1.13%
332,Achain,ACT,"$8,732,333",$0.009173,"951,999,998",2.84%
333,Mainframe,MFT,"$8,689,880",$0.000986,"8,813,451,661",-0.32%
334,Storm,STORM,"$8,647,519",$0.001376,"6,284,035,013",0.28%
335,Tripio,TRIO,"$8,575,470",$0.002287,"3,750,000,000",0.81%
336,Content Value...,CVNT,"$8,571,159",$0.016131,"531,347,835",-0.09%
337,BORA,BORA,"$8,551,952",$0.009633,"887,814,093",0.16%
338,NewYork Exchange,NYE,"$8,522,137",$4.28,"1,990,558",0.00%
339,ProximaX,XPX,"$8,501,866",$0.001394,"6,097,456,550",-1.38%
340,Time New Bank,TNB,"$8,496,850",$0.002946,"2,884,277,210",-0.34%
341,Everex,EVX,"$8,478,998",$0.373524,"22,700,000",0.12%
342,Tael,WABI,"$8,469,723",$0.129309,"65,499,999",0.08%
343,OST,OST,"$8,446,648",$0.012521,"674,625,134",-0.53%
344,Streamr DATAcoin,DATA,"$8,318,482",$0.012284,"677,154,514",0.04%
345,Egretia,EGT,"$8,294,149",$0.001966,"4,218,275,850",0.36%
346,Bitcoin Rhodium,XRC,"$8,279,106",$9.94,"833,148",-1.06%
347,FirstBlood,1ST,"$8,204,879",$0.095898,"85,558,371",3.59%
348,IPChain,IPC,"$8,193,813",$0.104102,"78,709,772",0.86%
349,Blox,CDT,"$8,172,631",$0.012115,"674,579,184",0.28%
350,CommerceBlock,CBT,"$8,175,094",$0.046938,"174,166,686",0.16%
351,High Performa...,HPB,"$8,121,814",$0.186195,"43,619,949",0.63%
352,Burst,BURST,"$7,856,464",$0.003804,"2,065,262,838",0.13%
353,Metadium,META,"$7,819,239",$0.006278,"1,245,430,304",1.01%
354,SingularDTV,SNGLS,"$7,888,244",$0.013147,"600,000,000",10.40%
355,Constellation,DAG,"$7,762,401",$0.009055,"857,251,040",0.61%
