,Address,Listing Type,Asking Price,Bed/Bath Count
187,"9931 Sageroyal Ln, Houston, TX 77089",House for sale,"$215,000","4 bds2 ba2,073 sqft"
188,"3907 Barnacle Ct, Baytown, TX",New construction,"$205,990","3 bds2 ba1,516 sqft"
189,"108 Tillery St # 2, Austin, TX 78702",Condo for sale,"$515,000","2 bds3 ba1,100 sqft"
190,"10450 Pr # 6902, Eustace, TX 75124",Lot / Land for sale,"$5,000","8,668 sqft lot"
191,"10233 County Road 603, Burleson, TX 76028",House for sale,"$299,900","3 bds3 ba2,456 sqft"
192,"1133 Skyline Dr, Hutchins, TX 75141",House for sale,"$199,999","3 bds2 ba1,522 sqft"
193,"3600 Kenwood Ave, Fort Worth, TX 76116",For sale by owner,"$50,000",1 bd1 ba784 sqft
194,"18735 County Road 1089, Royse City, TX 75189",Home for sale,"$225,000","4 bds2 ba2,016 sqft"
195,"5125 Sangria Dr, Mckinney, TX 75070",House for sale,"$419,820","4 bds3 ba2,170 sqft"
196,"1510 Bowie St, Garland, TX 75042",House for sale,"$232,000","4 bds2 ba1,890 sqft"
197,"7300 Rocky Ford Rd, Fort Worth, TX 76179",House for sale,"$260,000","4 bds2 ba2,243 sqft"
198,"775 County Road 2590, Marietta, TX 75566",House for sale,"$149,900","3 bds2 ba1,821 sqft"
199,"609 Fallmeadow Ct, Denton, TX 76207",Apartment for sale,"$395,000",8 bds4 ba-- sqft
200,"21400 Fm 901, Gordonville, TX 76245",Lot / Land for sale,"$55,000","7,187 sqft lot"
201,"199 Circle Ridge Dr, Gilmer, TX 75645",Foreclosure,"$107,900","3 bds2 ba1,454 sqft"
202,"113 N Hillside St, Red Oak, TX 75154",House for sale,"$198,813","3 bds2 ba1,332 sqft"
203,"1008 Diane St, Aubrey, TX 76227",House for sale,"$274,900","4 bds2 ba2,272 sqft"
204,"77 Ac County Road 1493, Winnsboro, TX 75494",Lot / Land for sale,"$329,000",77.69 acres lot
205,"1560 Laguna Bay LOT 16, Azle, TX 76020",Lot / Land for sale,"$178,000",0.44 acres lot
206,"324 E Munson St, Denison, TX 75021",House for sale,"$159,900","3 bds2 ba1,271 sqft"
207,"1814 Driscoll St, Houston, TX",New construction,"$769,900","4 bds4 ba3,002 sqft"
208,"8310 Weyburn Dr, Austin, TX 78757",House for sale,"$330,900",3 bds1 ba980 sqft
209,"2803 Scottsbluff Dr, Dallas, TX 75228",House for rent,"$1,649/mo","3 bds1.5 ba1,461 sqft"
210,"5611 Pioneer Rdg, San Antonio, TX 78245",House for rent,"$1,200/mo","3 bds2 ba1,120 sqft"
211,"6010 J F K Dr, Austin, TX 78724",Home for rent,"$1,500/mo","4 bds2 ba1,596 sqft"
212,"N Sewell Dr, Decatur, TX 76234",Apartment for rent,"$1,050/mo","2 bds2 ba1,100 sqft"
213,"1047 Springdale Rd, Austin, TX 78721",Lot / Land for sale,"$800,000",0.33 acres lot
214,"124 Airport Rd, Gatesville, TX 76528",Home for sale,"$99,900","4 bds3 ba2,356 sqft"
215,"13650 Rocky Ln, Temple, TX",Lot / Land for sale,"$750,000",2.95 acres lot
216,"1371 County Road 4530, Kempner, TX 76539",House for sale,"$420,000","3 bds3 ba2,981 sqft"
217,"9706 Smoky Quartz Dr, Iowa Colony, TX",New construction,"$209,900","4 bds2 ba1,658 sqft"
218,"2111 Great Egret Bnd, Fulshear, TX",New construction,"$310,483","3 bds2 ba2,151 sqft"
219,"ST Andrews Dr LOT 6, New Ulm, TX 78950",Lot / Land for sale,"$25,000","8,398 sqft lot"
220,"1937 E Dickey Dr, Grand Prairie, TX 75051",House for rent,"$1,500/mo","3 bds2 ba1,380 sqft"
221,"307 W College St LOT 7, Mesquite, TX 75149",Lot / Land for sale,"$55,000",0.32 acres lot
222,"1721 Elm St, Anna, TX 75409",House for sale,"$235,000","3 bds3 ba2,207 sqft"
223,"16513 Amistad Ave, Prosper, TX 75078",House for sale,"$325,000","4 bds3 ba2,471 sqft"
224,"3301 Waterpark Dr, Wylie, TX 75098",House for sale,"$300,500","3 bds3 ba2,672 sqft"
225,"2802 County Road 2212, Pittsburg, TX 75686",House for sale,"$132,000","3 bds1 ba1,232 sqft"
226,"6905 Crane Rd LOT 3R, North Richland Hills, TX 76182",Lot / Land for sale,"$279,900",0.58 acres lot
227,"4712 N Hwy 281, Mineral Wells, TX 76067",Lot / Land for sale,"$683,641",97.66 acres lot
228,"TBD-5 Isbell Ranch Rd, Boyd, TX 76023",Lot / Land for sale,"$139,000",10.01 acres lot
229,"330 E Munson St, Denison, TX 75021",House for sale,"$159,900","3 bds2 ba1,271 sqft"
230,"4611 Skylane Rd, Beach City, TX 77523",For sale by owner,"$450,000","3 bds3 ba2,635 sqft"
231,"1911 Upland Dr APT 1, Edinburg, TX 78539",Apartment for rent,$800/mo,"2 bds2 ba1,060 sqft"
232,"1921 Lacywood APT 2, Edinburg, TX 78539",Apartment for rent,$700/mo,1 bd1 ba790 sqft
233,"9507 Smoky Quartz Dr, Iowa Colony, TX",New construction,"$208,900","4 bds2 ba1,658 sqft"
234,"0 Chocolate Bayou Dr, Alvin, TX 77511",Lot / Land for sale,"$99,990",2.8 acres lot
235,"1107 64th St, Galveston, TX 77551",Lot / Land for sale,"$399,000",0.28 acres lot
236,"2295 Travis Rd, Bellville, TX 77418",House for sale,"$415,000","3 bds2 ba2,776 sqft"
237,"20738 Calloway Crest Ct, Katy, TX 77449",House for sale,"$280,000","4 bds3 ba2,850 sqft"
238,"2901 Albany St, Houston, TX 77006",Apartment for sale,"$599,000","5 bds-- ba2,945 sqft"
239,"ST Andrews Dr LOT 8, New Ulm, TX 78950",Lot / Land for sale,"$25,000","8,398 sqft lot"
240,"22619 Ebbets Field Dr, Spring, TX 77389",House for sale,"$242,000","3 bds2 ba1,840 sqft"
241,"3401 Columbus St, Gainesville, TX 76240",For sale by owner,"$289,600","5 bds4 ba2,911 sqft"
242,"1931 Upland Dr APT 4, Edinburg, TX 78539",Apartment for rent,$800/mo,"2 bds2 ba1,060 sqft"
243,"1022 Royal Lakes Manor Blvd, Richmond, TX",New construction,"$659,500","4 bds4 ba4,047 sqft"
244,"1380 County Road 357, Utopia, TX 78884",House for sale,"$309,000","4 bds2 ba2,508 sqft"
245,"11515 Taos Ln, Houston, TX 77070",House for sale,"$269,500","3 bds3 ba2,331 sqft"
246,"1923 Upland Dr APT 4, Edinburg, TX 78539",Apartment for rent,$800/mo,"2 bds2 ba1,060 sqft"
247,"4212 S Highway 35 # 5, Rockport, TX 78382",For sale by owner,"$179,900","3 bds2 ba1,248 sqft"
248,"5303 Delores Ave # B, Austin, TX 78721",Apartment for rent,"$1,795/mo",2 bds1 ba900 sqft
249,"89 Sun Eagle Bay Dr # 89-92, Yantis, TX 75497",For sale by owner,"$150,000",-- sqft lot
250,"4802 David, Nash, TX 75569",House for sale,"$177,500","3 bds2 ba1,660 sqft"
251,"1032 Business Loop 181 N # 181-N, Floresville, TX 78114",Lot / Land for sale,"$120,000",4 acres lot
252,"19519 Hog Eye Rd, Manor, TX 78653",Lot / Land for sale,"$2,974,800",148.74 acres lot
253,"1175 Pahal Rd, Huntington, TX 75949",House for sale,"$195,000","3 bds2 ba2,204 sqft"
